# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1723
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1723
DATA ascii
0.06935429 -0.1374 1.374
0.07197143 -0.1374 1.374
0.001329524 -0.136941 1.396
0.003988571 -0.136941 1.396
0.009120001 -0.1341943 1.368
0.01172571 -0.1341943 1.368
0.01427905 -0.1337038 1.363
0.01681333 -0.1332133 1.358
0.0194 -0.1332133 1.358
0.02198667 -0.1332133 1.358
0.02457333 -0.1332133 1.358
0.02716 -0.1332133 1.358
0.02974667 -0.1332133 1.358
0.03219048 -0.1326248 1.352
0.03476572 -0.1326248 1.352
0.03734095 -0.1326248 1.352
0.04009333 -0.1332133 1.358
0.04283714 -0.1337038 1.363
0.0456 -0.1341943 1.368
0.04820571 -0.1341943 1.368
0.05081143 -0.1341943 1.368
0.05341714 -0.1341943 1.368
0.05602286 -0.1341943 1.368
0.05862857 -0.1341943 1.368
0.06150286 -0.1347829 1.374
0.06412 -0.1347829 1.374
0.06673715 -0.1347829 1.374
0.06935429 -0.1347829 1.374
0.07197143 -0.1347829 1.374
-0.006647619 -0.1342819 1.396
-0.003971429 -0.1337048 1.39
-0.00132381 -0.1337048 1.39
0.00132381 -0.1337048 1.39
0.003971429 -0.1337048 1.39
0.006514286 -0.1315886 1.368
0.009120001 -0.1315886 1.368
0.01172571 -0.1315886 1.368
0.01427905 -0.1311076 1.363
0.01687524 -0.1311076 1.363
0.01947143 -0.1311076 1.363
0.02206762 -0.1311076 1.363
0.02457333 -0.1306267 1.358
0.02716 -0.1306267 1.358
0.02974667 -0.1306267 1.358
0.03219048 -0.1300495 1.352
0.03476572 -0.1300495 1.352
0.03734095 -0.1300495 1.352
0.03991619 -0.1300495 1.352
0.04249143 -0.1300495 1.352
0.04543334 -0.1311076 1.363
0.04802952 -0.1311076 1.363
0.05081143 -0.1315886 1.368
0.05341714 -0.1315886 1.368
0.05602286 -0.1315886 1.368
0.05862857 -0.1315886 1.368
0.06123429 -0.1315886 1.368
0.06412 -0.1321657 1.374
0.06673715 -0.1321657 1.374
0.06935429 -0.1321657 1.374
0.07223333 -0.1326467 1.379
-0.01191429 -0.1310572 1.39
-0.009266667 -0.1310572 1.39
-0.006619048 -0.1310572 1.39
-0.003971429 -0.1310572 1.39
-0.001313333 -0.13002 1.379
0.001308571 -0.1295486 1.374
0.003925715 -0.1295486 1.374
0.006542857 -0.1295486 1.374
0.009120001 -0.1289829 1.368
0.01172571 -0.1289829 1.368
0.01433143 -0.1289829 1.368
0.01693714 -0.1289829 1.368
0.01954286 -0.1289829 1.368
0.02206762 -0.1285114 1.363
0.02457333 -0.12804 1.358
0.02716 -0.12804 1.358
0.02974667 -0.12804 1.358
0.03219048 -0.1274743 1.352
0.03476572 -0.1274743 1.352
0.03734095 -0.1274743 1.352
0.04009333 -0.12804 1.358
0.04283714 -0.1285114 1.363
0.04543334 -0.1285114 1.363
0.04802952 -0.1285114 1.363
0.05062572 -0.1285114 1.363
0.05341714 -0.1289829 1.368
0.05602286 -0.1289829 1.368
0.05862857 -0.1289829 1.368
0.06150286 -0.1295486 1.374
0.06412 -0.1295486 1.374
0.06698 -0.13002 1.379
0.06960667 -0.13002 1.379
0.07223333 -0.13002 1.379
-0.01456191 -0.1284095 1.39
-0.01191429 -0.1284095 1.39
-0.009266667 -0.1284095 1.39
-0.006595239 -0.1279476 1.385
-0.003957143 -0.1279476 1.385
-0.001313333 -0.1273933 1.379
0.001308571 -0.1269314 1.374
0.003925715 -0.1269314 1.374
0.006542857 -0.1269314 1.374
0.009120001 -0.1263771 1.368
0.01172571 -0.1263771 1.368
0.01433143 -0.1263771 1.368
0.01693714 -0.1263771 1.368
0.01954286 -0.1263771 1.368
0.02214857 -0.1263771 1.368
0.02466381 -0.1259152 1.363
0.02726 -0.1259152 1.363
0.02985619 -0.1259152 1.363
0.03233333 -0.1254533 1.358
0.03476572 -0.1248991 1.352
0.03734095 -0.1248991 1.352
0.04009333 -0.1254533 1.358
0.04268 -0.1254533 1.358
0.04543334 -0.1259152 1.363
0.04802952 -0.1259152 1.363
0.05062572 -0.1259152 1.363
0.05341714 -0.1263771 1.368
0.05602286 -0.1263771 1.368
0.05862857 -0.1263771 1.368
0.06150286 -0.1269314 1.374
0.06412 -0.1269314 1.374
0.06698 -0.1273933 1.379
0.06960667 -0.1273933 1.379
0.07223333 -0.1273933 1.379
0.07486001 -0.1273933 1.379
-0.01456191 -0.1257619 1.39
-0.01191429 -0.1257619 1.39
-0.009266667 -0.1257619 1.39
-0.006595239 -0.1253095 1.385
-0.003957143 -0.1253095 1.385
-0.001313333 -0.1247667 1.379
0.001308571 -0.1243143 1.374
0.003925715 -0.1243143 1.374
0.006542857 -0.1243143 1.374
0.009120001 -0.1237714 1.368
0.01172571 -0.1237714 1.368
0.01433143 -0.1237714 1.368
0.01693714 -0.1237714 1.368
0.01954286 -0.1237714 1.368
0.02214857 -0.1237714 1.368
0.02475429 -0.1237714 1.368
0.02736 -0.1237714 1.368
